,lat,long,date,fire_bool
30606,29.838,-93.529,2014-07-17,f
30607,29.838,-93.529,2014-07-17,f
32778,30.935,-84.271,2014-07-17,f
33903,31.365,-89.779,2014-07-17,f
35871,32.222,-87.755,2014-07-17,f
36192,32.39,-84.24,2014-07-17,f
36616,32.569,-82.785,2014-07-17,f
36617,32.569,-82.785,2014-07-17,f
38604,33.412,-85.035,2014-07-17,f
39739,33.947,-105.866,2014-07-17,f
40478,34.365,-105.564,2014-07-17,f
40508,34.377,-105.554,2014-07-17,f
40509,34.377,-105.554,2014-07-17,f
43305,36.099,-80.064,2014-07-17,f
43306,36.099,-80.064,2014-07-17,f
47664,39.115,-119.806,2014-07-17,f
47665,39.115,-119.806,2014-07-17,f
47666,39.115,-119.806,2014-07-17,f
51552,42.684,-111.597,2014-07-17,f
51565,42.684,-111.584,2014-07-17,f
51781,43.13,-118.276,2014-07-17,f
51782,43.13,-118.276,2014-07-17,f
51783,43.13,-118.276,2014-07-17,f
51784,43.132,-118.127,2014-07-17,t
51825,43.149,-118.254,2014-07-17,t
51826,43.151,-118.267,2014-07-17,t
51827,43.151,-118.267,2014-07-17,t
51828,43.151,-118.267,2014-07-17,t
51829,43.151,-118.26,2014-07-17,t
51830,43.152,-118.264,2014-07-17,f
51831,43.152,-118.264,2014-07-17,f
51832,43.152,-118.264,2014-07-17,f
51833,43.153,-118.255,2014-07-17,t
51834,43.153,-118.255,2014-07-17,t
51835,43.153,-118.255,2014-07-17,t
51843,43.158,-118.263,2014-07-17,f
51852,43.16,-118.261,2014-07-17,f
51853,43.16,-118.261,2014-07-17,f
51870,43.176,-118.292,2014-07-17,f
51874,43.187,-118.221,2014-07-17,t
51875,43.187,-118.221,2014-07-17,t
51887,43.213,-118.04,2014-07-17,t
51952,43.259,-118.009,2014-07-17,f
51953,43.259,-118.009,2014-07-17,f
51957,43.26,-117.987,2014-07-17,f
51989,43.276,-117.938,2014-07-17,f
51993,43.279,-118.06,2014-07-17,t
51994,43.279,-118.06,2014-07-17,t
51995,43.28,-118.354,2014-07-17,f
52033,43.305,-118.041,2014-07-17,t
52034,43.305,-118.041,2014-07-17,t
52078,43.337,-118.242,2014-07-17,f
52079,43.337,-118.242,2014-07-17,f
52080,43.337,-118.242,2014-07-17,f
52081,43.339,-118.265,2014-07-17,t
52085,43.349,-118.282,2014-07-17,f
52086,43.353,-118.221,2014-07-17,t
52089,43.364,-118.257,2014-07-17,f
52090,43.367,-118.077,2014-07-17,f
52091,43.369,-118.053,2014-07-17,f
52092,43.369,-118.053,2014-07-17,f
52093,43.378,-118.211,2014-07-17,f
52094,43.378,-118.135,2014-07-17,f
52095,43.39,-118.239,2014-07-17,f
52096,43.39,-118.239,2014-07-17,f
