,lat,long,date,fire_bool
82210,44.945,-119.542,2014-07-17,t
82216,44.95,-119.561,2014-07-17,t
82217,44.95,-119.561,2014-07-17,t
82218,44.95,-119.561,2014-07-17,t
82221,44.955,-121.199,2014-07-17,t
82230,44.957,-121.194,2014-07-17,t
82234,44.96,-121.161,2014-07-17,t
82242,44.966,-121.185,2014-07-17,t
82243,44.966,-121.185,2014-07-17,t
82285,45.022,-121.165,2014-07-17,t
82301,45.044,-121.147,2014-07-17,t
82302,45.044,-121.147,2014-07-17,t
82303,45.044,-121.147,2014-07-17,t
84061,47.66,-120.79,2014-07-17,t
84062,47.66,-120.79,2014-07-17,t
84119,47.676,-120.741,2014-07-17,t
84208,47.707,-120.798,2014-07-17,t
84223,47.711,-120.802,2014-07-17,t
84241,47.718,-120.823,2014-07-17,t
84242,47.718,-120.823,2014-07-17,t
84243,47.718,-120.823,2014-07-17,t
84695,48.149,-119.979,2014-07-17,t
84696,48.149,-119.979,2014-07-17,t
84737,48.167,-119.961,2014-07-17,t
84738,48.167,-119.961,2014-07-17,t
84741,48.169,-119.985,2014-07-17,t
84742,48.169,-119.985,2014-07-17,t
84743,48.169,-119.985,2014-07-17,t
84749,48.173,-120.069,2014-07-17,t
84750,48.173,-120.069,2014-07-17,t
84752,48.173,-120.069,2014-07-17,t
84756,48.178,-120.042,2014-07-17,t
84766,48.183,-119.972,2014-07-17,t
84767,48.183,-119.972,2014-07-17,t
84787,48.191,-120.155,2014-07-17,t
84788,48.191,-120.155,2014-07-17,t
84793,48.192,-120.0,2014-07-17,t
84794,48.192,-120.0,2014-07-17,t
84805,48.198,-120.157,2014-07-17,t
84806,48.198,-120.157,2014-07-17,t
84807,48.198,-120.157,2014-07-17,t
84813,48.2,-120.045,2014-07-17,t
84814,48.2,-120.045,2014-07-17,t
84818,48.202,-120.13,2014-07-17,t
84819,48.202,-120.13,2014-07-17,t
84820,48.202,-120.13,2014-07-17,t
84824,48.203,-120.002,2014-07-17,t
84861,48.213,-120.141,2014-07-17,t
84862,48.213,-120.141,2014-07-17,t
84863,48.213,-120.141,2014-07-17,t
84878,48.215,-120.155,2014-07-17,t
84879,48.215,-120.155,2014-07-17,t
84880,48.215,-120.155,2014-07-17,t
84891,48.218,-120.063,2014-07-17,t
84892,48.218,-120.063,2014-07-17,t
84893,48.218,-120.063,2014-07-17,t
84920,48.225,-120.165,2014-07-17,t
84921,48.225,-120.165,2014-07-17,t
84931,48.228,-120.148,2014-07-17,t
84932,48.228,-120.148,2014-07-17,t
84938,48.229,-120.148,2014-07-17,t
84942,48.23,-120.134,2014-07-17,t
84943,48.23,-120.134,2014-07-17,t
84944,48.23,-120.134,2014-07-17,t
85261,48.375,-119.974,2014-07-17,t
85262,48.375,-119.974,2014-07-17,t
85284,48.387,-119.977,2014-07-17,t
85294,48.403,-120.046,2014-07-17,t
85295,48.403,-120.046,2014-07-17,t
85296,48.403,-120.046,2014-07-17,t
85304,48.405,-120.011,2014-07-17,t
85305,48.405,-120.011,2014-07-17,t
85306,48.405,-120.011,2014-07-17,t
85309,48.406,-120.014,2014-07-17,t
85343,48.421,-120.059,2014-07-17,t
85344,48.421,-120.059,2014-07-17,t
85345,48.421,-120.059,2014-07-17,t
85353,48.423,-120.043,2014-07-17,t
85354,48.423,-120.043,2014-07-17,t
85355,48.423,-120.043,2014-07-17,t
85388,48.437,-120.037,2014-07-17,t
85391,48.439,-120.081,2014-07-17,t
85392,48.439,-120.081,2014-07-17,t
85393,48.439,-120.081,2014-07-17,t
85394,48.441,-120.064,2014-07-17,t
85395,48.441,-120.064,2014-07-17,t
85396,48.441,-120.064,2014-07-17,t
85397,48.441,-120.055,2014-07-17,t
85398,48.442,-120.014,2014-07-17,t
85402,48.443,-120.078,2014-07-17,t
85405,48.445,-120.082,2014-07-17,t
85406,48.445,-120.082,2014-07-17,t
85407,48.445,-120.082,2014-07-17,t
85419,48.449,-120.09,2014-07-17,t
85420,48.449,-120.09,2014-07-17,t
85421,48.449,-120.09,2014-07-17,t
85429,48.459,-120.092,2014-07-17,t
85430,48.459,-120.092,2014-07-17,t
85431,48.459,-120.092,2014-07-17,t
85441,48.466,-120.029,2014-07-17,t
85442,48.466,-120.029,2014-07-17,t
85443,48.466,-120.029,2014-07-17,t
85444,48.467,-120.047,2014-07-17,t
85445,48.467,-120.047,2014-07-17,t
85446,48.467,-120.047,2014-07-17,t
85450,48.469,-120.07,2014-07-17,t
85455,48.473,-120.05,2014-07-17,t
85456,48.473,-120.05,2014-07-17,t
85460,48.48,-120.082,2014-07-17,t
85461,48.48,-120.082,2014-07-17,t
85462,48.48,-120.082,2014-07-17,t
106466,40.48,-122.759,2014-07-17,t
106467,40.48,-122.759,2014-07-17,t
109661,43.126,-118.162,2014-07-17,t
109662,43.126,-118.162,2014-07-17,t
109666,43.133,-118.144,2014-07-17,t
109667,43.133,-118.144,2014-07-17,t
109753,43.213,-118.039,2014-07-17,t
109764,43.224,-118.255,2014-07-17,t
109765,43.224,-118.255,2014-07-17,t
109766,43.224,-118.255,2014-07-17,t
109870,43.273,-118.337,2014-07-17,t
109993,43.411,-118.403,2014-07-17,t
109995,43.411,-118.398,2014-07-17,t
109996,43.411,-118.398,2014-07-17,t
109997,43.411,-118.398,2014-07-17,t
110019,43.432,-118.412,2014-07-17,t
110026,43.439,-118.396,2014-07-17,t
